Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species
W1811,,,CO,Larimer,,culex. pipiens,42240,,mosquito
W1812,,,CO,Larimer,,culex. pipiens,42240,,mosquito
W1816,,,CO,Larimer,,culex. pipiens,42254,,mosquito
W1817,,,CO,Larimer,,culex. pipiens,42261,,mosquito
W1825,,,CO,Larimer,,culex. pipiens,42590,,mosquito
W1826,,,CO,Larimer,,culex. pipiens,42590,,mosquito
W1827,,,CO,Larimer,,culex. pipiens,42597,,mosquito
W1828,,,CO,Larimer,,culex. pipiens,42597,,mosquito
W1831,,,CO,Larimer,,culex. pipiens,42625,,mosquito
W1833,,,CO,Larimer,,culex. pipiens,42933,,mosquito
W1841,,,CO,Larimer,,culex. pipiens,43318,,mosquito
W1805,,,CO,Larimer,,culex. tarsalis,42212,,mosquito
W1806,,,CO,Larimer,,culex. tarsalis,42219,,mosquito
W1807,,,CO,Larimer,,culex. tarsalis,42219,,mosquito
W1819,,,CO,Larimer,,culex. tarsalis,42548,,mosquito
W1820,,,CO,Larimer,,culex. tarsalis,42569,,mosquito
W1823,,,CO,Larimer,,culex. tarsalis,42590,,mosquito
W1824,,,CO,Larimer,,culex. tarsalis,42590,,mosquito
W1836,,,CO,Larimer,,culex. tarsalis,42968,,mosquito
HM488132,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488210,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488215,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488216,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488221,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488222,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488223,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
HM488224,West Nile virus,USA,CT,,cell supernatant,culiseta melanura,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  ",mosquito
